;mean_fit_time;mean_score_time;mean_test_score;param_classifier;param_classifier__kernel;param_classifier__n_estimators;param_features__lex__polarity__binary;param_features__lex__polarity__enabled;param_features__vect;param_features__vect__binary;param_features__vect__ngram_range;param_features__vect__use_idf;params;rank_test_score;split0_test_score;split1_test_score;split2_test_score;std_fit_time;std_score_time;std_test_score
0;2,290;1,252;0,847;;;;True;True;;True;(1, 1);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': True, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 1)};10;0,851;0,851;0,839;0,060;0,029;0,006
1;4,832;1,294;0,846;;;;True;True;;True;(1, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': True, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 2)};17;0,858;0,845;0,836;0,122;0,040;0,009
2;4,322;1,199;0,771;;;;True;True;;True;(2, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': True, 'features__vect__binary': True, 'features__vect__ngram_range': (2, 2)};1024;0,781;0,765;0,768;0,194;0,032;0,007
3;2,400;1,124;0,839;;;;True;True;;False;(1, 1);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': True, 'features__vect__binary': False, 'features__vect__ngram_range': (1, 1)};36;0,844;0,835;0,836;0,119;0,050;0,004
4;4,905;1,351;0,834;;;;True;True;;False;(1, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': True, 'features__vect__binary': False, 'features__vect__ngram_range': (1, 2)};77;0,840;0,832;0,830;0,185;0,027;0,004
5;4,473;1,207;0,767;;;;True;True;;False;(2, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': True, 'features__vect__binary': False, 'features__vect__ngram_range': (2, 2)};1038;0,776;0,756;0,770;0,018;0,073;0,009
6;1,016;0,400;0,847;;;;True;False;;True;(1, 1);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': False, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 1)};8;0,852;0,851;0,838;0,084;0,022;0,006
7;3,577;0,672;0,846;;;;True;False;;True;(1, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': False, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 2)};18;0,858;0,845;0,835;0,159;0,047;0,010
8;3,199;0,573;0,769;;;;True;False;;True;(2, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': False, 'features__vect__binary': True, 'features__vect__ngram_range': (2, 2)};1030;0,781;0,761;0,767;0,134;0,060;0,008
9;1,096;0,429;0,838;;;;True;False;;False;(1, 1);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': False, 'features__vect__binary': False, 'features__vect__ngram_range': (1, 1)};39;0,845;0,835;0,836;0,067;0,044;0,004
10;3,686;0,663;0,834;;;;True;False;;False;(1, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': False, 'features__vect__binary': False, 'features__vect__ngram_range': (1, 2)};89;0,840;0,832;0,829;0,096;0,019;0,005
11;3,101;0,558;0,767;;;;True;False;;False;(2, 2);;{'features__lex__polarity__binary': True, 'features__lex__polarity__enabled': False, 'features__vect__binary': False, 'features__vect__ngram_range': (2, 2)};1038;0,776;0,755;0,770;0,068;0,016;0,009
12;1,760;0,767;0,847;;;;False;True;;True;(1, 1);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': True, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 1)};11;0,851;0,851;0,838;0,030;0,011;0,006
13;4,391;1,085;0,846;;;;False;True;;True;(1, 2);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': True, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 2)};20;0,858;0,844;0,835;0,143;0,072;0,010
14;3,845;0,847;0,772;;;;False;True;;True;(2, 2);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': True, 'features__vect__binary': True, 'features__vect__ngram_range': (2, 2)};1020;0,783;0,765;0,768;0,057;0,015;0,008
15;1,797;0,749;0,839;;;;False;True;;False;(1, 1);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': True, 'features__vect__binary': False, 'features__vect__ngram_range': (1, 1)};36;0,845;0,835;0,836;0,018;0,037;0,004
16;4,493;1,107;0,834;;;;False;True;;False;(1, 2);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': True, 'features__vect__binary': False, 'features__vect__ngram_range': (1, 2)};79;0,840;0,833;0,830;0,145;0,120;0,004
17;3,903;0,877;0,768;;;;False;True;;False;(2, 2);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': True, 'features__vect__binary': False, 'features__vect__ngram_range': (2, 2)};1035;0,778;0,757;0,770;0,056;0,023;0,009
18;1,209;0,436;0,847;;;;False;False;;True;(1, 1);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': False, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 1)};8;0,852;0,851;0,838;0,031;0,052;0,006
19;3,766;0,664;0,846;;;;False;False;;True;(1, 2);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': False, 'features__vect__binary': True, 'features__vect__ngram_range': (1, 2)};18;0,858;0,845;0,835;0,314;0,017;0,010
20;3,151;0,580;0,769;;;;False;False;;True;(2, 2);;{'features__lex__polarity__binary': False, 'features__lex__polarity__enabled': False, 'features__vect__binary': True, 'features__vect__ngram_range': (2, 2)};1030;0,781;0,761;0,767;0,130;0,033;0,008
